Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,64,0,0.1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,2,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,2,0.05,0.14,0,0,Feb,3,2,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,627,0.02,0.05,0,0,Mar,2,2,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,1547,0.015,0.024,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,279,0.02,0.05,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,162,0.01,0.03,0,0,Mar,3,3,1,3,New_Visitor,FALSE,FALSE
0,0,0,0,16,1453,0.012,0.02,0,0,Apr,2,1,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,7,412,0.03,0.06,0,0,Apr,1,2,1,3,Returning_Visitor,FALSE,FALSE
